price,no_of_bedroom,no_of_bathroom,property_size,property_type,district,price_per_square
418000.0,3.0,2.0,1300.0,Apartment,Kuala Lumpur,321.53846153846155
220000.0,3.0,2.0,969.0,Apartment,Others,227.03818369453043
300000.0,4.0,2.0,991.0,Apartment,Kuala Lumpur,302.7245206861756
850000.0,2.0,2.0,866.0,Apartment,Kuala Lumpur,981.5242494226328
233280.0,3.0,2.0,859.0,Apartment,Others,271.5715948777648
900000.0,3.0,2.0,1690.0,Apartment,Kuala Lumpur,532.5443786982248
250000.0,3.0,1.0,650.0,Apartment,Kuala Lumpur,384.61538461538464
245000.0,3.0,2.0,800.0,Apartment,Ampang,306.25
310000.0,3.0,2.0,872.0,Apartment,Kuala Lumpur,355.5045871559633
400000.0,4.0,2.0,1100.0,Apartment,Kuala Lumpur,363.6363636363636
480000.0,4.0,3.0,1336.0,Apartment,Kuala Lumpur,359.2814371257485
270000.0,2.0,1.0,550.0,Apartment,Kuala Lumpur,490.90909090909093
220000.0,2.0,1.0,538.0,Apartment,Kuala Lumpur,408.92193308550185
275000.0,3.0,2.0,904.0,Apartment,Kepong,304.20353982300884
258000.0,3.0,2.0,786.0,Apartment,Others,328.2442748091603
281880.0,3.0,2.0,960.0,Apartment,Kuala Lumpur,293.625
388000.0,3.0,2.0,1235.0,Apartment,Kuala Lumpur,314.17004048583
360000.0,3.0,2.0,1215.0,Apartment,Kuala Lumpur,296.2962962962963
338000.0,2.0,2.0,913.0,Apartment,Kuala Lumpur,370.20810514786416
480000.0,2.0,2.0,1100.0,Apartment,Kuala Lumpur,436.3636363636364
450000.0,2.0,2.0,1193.0,Apartment,Kuala Lumpur,377.2003352891869
305000.0,3.0,2.0,950.0,Apartment,Ampang,321.05263157894734
277248.0,2.0,2.0,844.0,Apartment,Others,328.49289099526067
300000.0,3.0,2.0,875.0,Apartment,Kuala Lumpur,342.85714285714283
300000.0,3.0,2.0,829.0,Apartment,Kuala Lumpur,361.8817852834741
300000.0,3.0,2.0,830.0,Apartment,Kuala Lumpur,361.4457831325301
300000.0,3.0,2.0,780.0,Apartment,Kuala Lumpur,384.61538461538464
300000.0,3.0,2.0,780.0,Apartment,Kuala Lumpur,384.61538461538464
300000.0,3.0,2.0,899.0,Apartment,Kuala Lumpur,333.70411568409344
410000.0,3.0,2.0,1001.0,Apartment,Kuala Lumpur,409.5904095904096
450000.0,3.0,1.0,1081.0,Apartment,Kuala Lumpur,416.28122109158187
438000.0,3.0,2.0,1001.0,Apartment,Kuala Lumpur,437.56243756243754
455000.0,3.0,2.0,1081.0,Apartment,Kuala Lumpur,420.90656799259943
420000.0,3.0,2.0,1235.0,Apartment,Kuala Lumpur,340.08097165991904
415000.0,3.0,2.0,967.0,Apartment,Others,429.16235780765254
410000.0,3.0,2.0,967.0,Apartment,Others,423.9917269906929
388000.0,3.0,2.0,1120.0,Apartment,Ampang,346.42857142857144
265000.0,3.0,1.0,750.0,Apartment,Kuala Lumpur,353.3333333333333
275000.0,3.0,1.0,764.0,Apartment,Kuala Lumpur,359.9476439790576
260000.0,3.0,2.0,800.0,Apartment,Ampang,325.0
270000.0,3.0,2.0,800.0,Apartment,Ampang,337.5
338000.0,3.0,2.0,878.0,Apartment,Kuala Lumpur,384.96583143507974
348000.0,3.0,2.0,1010.0,Apartment,Kuala Lumpur,344.55445544554453
350000.0,3.0,3.0,1010.0,Apartment,Kuala Lumpur,346.53465346534654
319000.0,3.0,2.0,850.0,Apartment,Kuala Lumpur,375.29411764705884
330000.0,3.0,2.0,916.0,Apartment,Kuala Lumpur,360.26200873362444
348000.0,3.0,1.0,926.0,Apartment,Kuala Lumpur,375.8099352051836
420000.0,3.0,2.0,940.0,Apartment,Kuala Lumpur,446.8085106382979
390000.0,3.0,2.0,916.0,Apartment,Kuala Lumpur,425.764192139738
380000.0,3.0,2.0,918.0,Apartment,Kuala Lumpur,413.9433551198257
370000.0,4.0,2.0,918.0,Apartment,Kuala Lumpur,403.05010893246185
265000.0,3.0,2.0,806.0,Apartment,Ampang,328.78411910669973
315000.0,3.0,2.0,817.0,Apartment,Ampang,385.55691554467563
320000.0,3.0,2.0,817.0,Apartment,Ampang,391.67686658506733
310000.0,3.0,2.0,850.0,Apartment,Others,364.70588235294116
175000.0,2.0,2.0,755.0,Apartment,Kuala Lumpur,231.78807947019868
188000.0,3.0,2.0,868.0,Apartment,Kuala Lumpur,216.58986175115209
159999.0,3.0,2.0,650.0,Apartment,Kuala Lumpur,246.1523076923077
150000.0,3.0,1.0,680.0,Apartment,Kuala Lumpur,220.58823529411765
158000.0,3.0,1.0,680.0,Apartment,Kuala Lumpur,232.35294117647058
168000.0,3.0,1.0,680.0,Apartment,Kuala Lumpur,247.05882352941177
180000.0,3.0,1.0,657.0,Apartment,Kuala Lumpur,273.972602739726
158000.0,3.0,1.0,650.0,Apartment,Kuala Lumpur,243.07692307692307
193000.0,2.0,1.0,650.0,Apartment,Kuala Lumpur,296.9230769230769
185000.0,3.0,2.0,659.0,Apartment,Kuala Lumpur,280.72837632776935
340000.0,3.0,2.0,850.0,Apartment,Kuala Lumpur,400.0
340000.0,3.0,2.0,850.0,Apartment,Kuala Lumpur,400.0
320000.0,3.0,2.0,804.0,Apartment,Kuala Lumpur,398.00995024875624
454000.0,3.0,2.0,1475.0,Apartment,Kuala Lumpur,307.79661016949154
454000.0,4.0,2.0,1475.0,Apartment,Kuala Lumpur,307.79661016949154
454000.0,3.0,2.0,1475.0,Apartment,Kuala Lumpur,307.79661016949154
137700.0,3.0,2.0,688.0,Apartment,Ampang,200.1453488372093
178000.0,3.0,2.0,720.0,Apartment,Kuala Lumpur,247.22222222222223
293000.0,3.0,2.0,860.0,Apartment,Ampang,340.69767441860466
300000.0,2.0,1.0,600.0,Apartment,Kuala Lumpur,500.0
225000.0,3.0,2.0,1100.0,Apartment,Others,204.54545454545453
490000.0,3.0,2.0,900.0,Apartment,Kuala Lumpur,544.4444444444445
470000.0,3.0,2.0,860.0,Apartment,Kuala Lumpur,546.5116279069767
400000.0,3.0,2.0,1001.0,Apartment,Kuala Lumpur,399.6003996003996
145000.0,2.0,2.0,800.0,Apartment,Ampang,181.25
190000.0,2.0,1.0,527.0,Apartment,Kuala Lumpur,360.53130929791274
195000.0,2.0,1.0,527.0,Apartment,Kuala Lumpur,370.0189753320683
261000.0,3.0,2.0,818.0,Apartment,Ampang,319.0709046454768
250000.0,3.0,2.0,895.0,Apartment,Ampang,279.3296089385475
263000.0,3.0,2.0,852.0,Apartment,Ampang,308.6854460093897
295000.0,3.0,2.0,895.0,Apartment,Ampang,329.60893854748605
245000.0,3.0,2.0,852.0,Apartment,Ampang,287.5586854460094
280000.0,3.0,2.0,806.0,Apartment,Ampang,347.394540942928
125000.0,2.0,1.0,600.0,Apartment,Kuala Lumpur,208.33333333333334
280000.0,3.0,2.0,904.0,Apartment,Kepong,309.7345132743363
280000.0,3.0,2.0,988.0,Apartment,Others,283.4008097165992
299000.0,2.0,2.0,987.0,Apartment,Others,302.9381965552178
340000.0,3.0,2.0,840.0,Apartment,Others,404.76190476190476
425000.0,3.0,2.0,905.0,Apartment,Kuala Lumpur,469.6132596685083
462000.0,3.0,2.0,900.0,Apartment,Kuala Lumpur,513.3333333333334
